user_id,business_id,stars
Cindy,f_eiOrEcMnkHB7GvQVOHkQ,4.0
Norm,6xgcHeLad-VaoTIQewK84A,4.0
J,jgTjppAwWr7rpd0FCquChQ,4.0
Randy,a4GRh1TlOVhPD401mSPLZg,5.0
Kimberly,I6oxEn1HT41S2GPrDKPPvA,3.0
Jennifer,i6TgZAX3733aPIMnzje5-g,2.0
Norm,qsJkjQoM3Hdg6Gtqp2S9_w,4.0
Margret,LwNXYLALCpKLUWZeNU6KNw,4.0
Brad,r5PLDU-4mSbde5XekTXSCA,1.0
Shiho,VdQE1qjtEMVAkRGfTfj5-A,5.0
Matthew,oXFRaSgcT9GwCWfC9lf8dg,4.0
Owen,9edPSkfXKsJmkZYIaOmA7Q,4.0
Hannah,6ANVuBMmpkXpFd5Hzkn4_Q,3.0
Chad,yNVcnSaMSrTmjJBMrHTy9w,3.0
Chad,NRFKiCg_6WJtuGpfb9dxVw,4.0
J,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
Juan,ygKRVzf8aOwqh78pbuRBgg,4.0
Joe,tKcagQ6JNkMtayvBVHwY9w,4.0
Nish,6xgcHeLad-VaoTIQewK84A,5.0
Stefany,FvVSy2r7_zDEhZWqLgjXNQ,3.0
Lili,NCFwm2-TDb-oBQ2medmYDg,5.0
Miriam,aPlGRDxKaA6JkE5mY66g0w,3.0
Chris,YPLJPAHy_byhlrwceIbN9Q,2.0
Abby,cs1qJvnWUg_f8g020z_3PQ,5.0
Randoll,U8hKZEVMQlpA5WkNNbWMcw,1.0
Bruce,sqdhck-Ad8UiBTVRbhdepw,4.0
Kymberli,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
Susy,ujHiaprwCQ5ewziu0Vi9rw,4.0
Tiffany,yI1YhZNk2VLRSyfE_DPRcg,2.0
Kymberli,DzNk7Chv42gNobL3Wqqt_w,1.0
Joseph,VFv7NcPW9ajUTLleJ8wOQA,4.0
Karen,p_xIP8gXFhAVCjftc3l9dA,4.0
Michelle,8mIrX_LrOnAqWsB5JrOojQ,5.0
Nish,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
Jennifer,T2jKa-mP-zLjKX6oYRaU5Q,3.0
Brad,BtuMs0o5yCDlSb278sZfNg,1.0
Shila,EneqsOFGCK4KXofNHsc5aQ,5.0
Jess,PjEls_NCOQ0m4tJPvcTY8w,4.0
Owen,bOHihhE1iLmNNfuROC3_8w,3.0
Neal,2mW2zWzctk8h5Q3PddzFKA,4.0
Stacy,LR_99E7tVUfxqemvcGkDzw,4.0
Emily,qmymSqVwHYRqdwfcBatzpQ,4.0
Angela,16-Ne-iDt5HpHWIP9fOmhw,5.0
Vincent,b2jN2mm9Wf3RcrZCgfo1cg,4.0
Tiffany,xFSCaBlcnDXSGFPUtYtuXA,3.0
J,-9YyInW1wapzdNZrhQJ9dg,4.0
Jason,K0dp91jd_vqW4uNgvW6oag,4.0
Karen,rhKzcgMm8CDhu7RZz_XxqQ,4.0
Messer,4U2JtoWJbhC-NAltPLdtEA,5.0
Samantha,MgHWbwuxxb_txhI3lK_bKg,4.0
Bruce,dXCZXOlks37U7IVXepcBDA,3.0
Norm,2mW2zWzctk8h5Q3PddzFKA,3.0
Jen,3b14ebd1k9y7VJbp5hC0gg,5.0
Jennifer,CTJnbFKMq7Nv7xnLmjgOyg,5.0
Bruce,BQqasPcPEKhzAq8OjJiqsQ,3.0
Bill,Zd9VJFJjfaadaJmCMFv-RQ,2.0
Stacy,QJl-EAKJQjUZoBBQPKhCgg,3.0
Jennifer,xwSUm021bISMMi3kt1juJw,3.0
Messer,vrCN175x5PLshWAgKjWMVA,5.0
Norm,8vkFJ_kA8XxDyjHfmsdEOg,4.0
Jando,diaiQrxYFU1V5qxrFnW9fg,4.0
Chris,pVUREc8CHpzVKt57Sdlkvg,4.0
Jennifer,6LBMax_eriJaDs2qWQM3Kg,4.0
Shradha,ujHiaprwCQ5ewziu0Vi9rw,3.0
Mel,kYSaEXh2kQaGHsjOLSOL3g,4.0
Kimberly,vRP9i7ev4hWDf818xUZy6g,4.0
Rob,CESgogUugOYph4p12qvzFg,5.0
Daisy,SHFlELFcEcAOJv_fTAKChQ,4.0
Charley,A0dDYy7DWik6BzDX6LnOtg,4.0
Shiho,3fdtp-bzoE4ZgTakkcEBzQ,4.0
Jennifer,O-uIEuv7JLUHajkemx_sVw,4.0
Chad,Bh-G9_WLTreZh2bv-3_ZMQ,3.0
Brad,HkbNItNrnXlNo59M0YyoMg,3.0
Maggie,6fPQJq4f_yiq1NHn0fd11Q,3.0
Matthew,7umN_k_4MYJnXGjuvmZySg,2.0
Samantha,wPWnFZMl8gDdHwbo5_VdMA,4.0
Sandy,pH0BLkL4cbxKzu471VZnuA,4.0
Margret,duG-irioNf7ZmRI2XibQ_A,5.0
Elsie,3saG51hM2M14G5f-QwhGhg,5.0
Heejin,7EZ4Eu7YJ1ltRCC5jXFJrQ,3.0
Jim,r5PLDU-4mSbde5XekTXSCA,5.0
Nora,ujHiaprwCQ5ewziu0Vi9rw,5.0
Danan,WMj5Uj04pAqFxLMnJQcQqw,3.0
Albert,seYvTmOZGJ2IAMdfQa8pkg,4.0
Cherylynn,_j2EtQtgLuXGRBfbM5YwZA,3.0
Brad,WlsMi6UyBz-WvBS9puLZkw,3.0
Jennifer,dnBQZpWTyJzTe0QJf7YK5w,3.0
Stefany,vpoXE7CsEMZNzBMDvkuqHg,2.0
Jennifer,IZI9BdElfGB-WcHpd7Wg7Q,2.0
Jennifer,n4zQ-4NPRhQmdu9Q1NymFw,3.0
Vincent,efwZXuea3BzcOOhK-6FvDQ,3.0
Adrienne,PxTKXsdYqoFHWAG2amz0XQ,3.0
Arnel,65GMvjjrsvyR9pxxAys7qg,4.0
Mel,Kbbm6Vd5UdbP10dwjBghRw,4.0
Fox,hcFSc0OHgZJybnjQBrL_8Q,4.0
Ivy,rUmJ5moQLQaWA2s99P2MEA,3.0
Cynthia,6ANVuBMmpkXpFd5Hzkn4_Q,2.0
Brenda,_pBXtjN43eqMV0XZTz7nmw,4.0
Margret,QPHU1AE3Fpxjhfiinv2LZg,4.0
Kelly,r5PLDU-4mSbde5XekTXSCA,2.0
Jennifer,f30-DOoIxvoV9btiDvKMTw,4.0
J,klEZ5XCoRd5lwcEwK7cMXQ,3.0
Eric,H5G0QeMMKOf_z3sz9V4jzw,4.0
Chris,NDu9ZhZkP1IxrEd-cST3rQ,4.0
Denise,BJ3AyMhTaORAu_e_J2KNEQ,4.0
Chad,vxadNrpTY7OHNmWsrEpNnA,3.0
Min,XXW_OFaYQkkGOGniujZFHg,4.0
PatrickJ,NCFwm2-TDb-oBQ2medmYDg,5.0
Emily,-U4-8MHFg9aiPI7kCl-BEA,4.0
Pauline,Nm1pBGkT5euNOn29JHwXrQ,4.0
Esther,OVTZNSkSfbl3gVB9XQIJfw,4.0
Katy,F9_VdKmPyvEcqWSVVGkNNA,4.0
Yi,wUKzaS1MHg94RGM6z8u9mw,4.0
MaryLou,4FFhq0e4bxAG4uXqgT14jQ,4.0
Vic,8mIrX_LrOnAqWsB5JrOojQ,5.0
Messer,NRFKiCg_6WJtuGpfb9dxVw,5.0
Jana,9edPSkfXKsJmkZYIaOmA7Q,3.0
Brad,fbQaKW0Lte0JQ_opbnjdKg,4.0
Jennifer,cs1qJvnWUg_f8g020z_3PQ,4.0
Adam,qx6WhZ42eDKmBchZDax4dQ,5.0
Jennifer,n5fp_q7OvqVCnV_IhAyaAQ,4.0
Elena,faPVqws-x-5k2CQKDNtHxw,4.0
Norm,NBn4hgfGtNz91k3VsDZlmw,5.0
Stefany,LYWbyu1EQM2o5hwHG5_Ldg,4.0
Lisa,IMLrj2klosTFvPRLv56cng,4.0
Jennifer,jqAdZf9PJo8lsRskc6T1Sw,4.0
Rachel,7EZ4Eu7YJ1ltRCC5jXFJrQ,1.0
Vic,9edPSkfXKsJmkZYIaOmA7Q,4.0
Cherylynn,4hG2j_ibsNblDgqei05U_g,4.0
Jennifer,pKiSzUlBBRNEdTML24piXA,4.0
Jennifer,CINuanTB3t119JypJq0DTw,3.0
Stefany,faPVqws-x-5k2CQKDNtHxw,3.0
Ed,NCFwm2-TDb-oBQ2medmYDg,4.0
Norm,n8Zqqhff-2cxzWt_nwhU2Q,3.0
Norm,zKqWjDZHo-lk7_E3hHkORg,3.0
Jim,nbyBqlRPwqVDm-7Zvlt_5A,4.0
Sal,-Ut87cwGFsO3444Rd11p0Q,4.0
Gabi,91EhRceds781OLo3M4BDrA,4.0
Madelyn,1NjYVJHmGDGrfTuuuZJncA,2.0
Steph,8mIrX_LrOnAqWsB5JrOojQ,4.0
Michael,phZXdkwh4EbENbwvciAAHA,4.0
Dani,pH0BLkL4cbxKzu471VZnuA,4.0
Brad,oD-C0IhodDOtWWOiNm2txA,5.0
Bruce,F2Yjq8hPFonpLK00-j8oiA,5.0
Jennifer,s0kM86trPEkOKv3quDnoGw,3.0
Gabi,cw4m6QjZVG2PkdSYeim1Gg,5.0
Darrell,UcBgxABVMc5mo1JLB8t70Q,3.0
Dave,y85X24N89dQgbEfGNuj2WQ,5.0
PatrickJ,xKL4JhiFn75HyTqW8tfR6w,3.0
Jennifer,aHMAZ634rfYT7M-YjYdd3g,3.0
Arnel,GMzBNH0IoE3kYFH6dnAm0g,5.0
Steph,m7ommfJFalI47UksyX04Iw,5.0
Jennifer,96W_FQrWSFu1CcNsr3PNlw,4.0
Tiffany,wUKzaS1MHg94RGM6z8u9mw,4.0
Joyce,TBTVE-YzujCHrTqoAxL05A,3.0
Gourmet,EUWBT5GDxPC95w9itZ1EHw,3.0
Maile,9ae7asMUB-Fty3tw6m18qQ,3.0
Miika,2mdF-c66TY3eSyTVI4GhQg,5.0
Leang,LsaSrbOcV7M24Yc8nemdsA,4.0
Nicole,BFT2OTfdK98J3FQ0ZZdE0A,3.0
Owen,Ke8t_l6CqoskQBtESsXwkw,4.0
J,5TX8o0vsxFsu9_QPhoeI4A,3.0
Rachel,f-tU_VyYWFGQvS5WcUZjtA,5.0
Jennifer,DqUa0BFB1FB-qWm5XlwLhw,3.0
Rob,rTZVcJZ8G80i6NjLw0SW8Q,2.0
Amuse,qJc12bxr4p-7ICE_Vhb-vA,4.0
Rob,mZW34yHvJsSP6OWNHz6xmw,4.0
Shila,RG6Un-S8lH4mhxGnDvTzVw,4.0
Jennifer,qaPSbg690KaX5av6xsSV4Q,5.0
Mel,FQCKnbmIPlg2NNq4KBSBzg,5.0
Stefany,KTzBUAzUfFqvttyjWi_irw,3.0
Margret,OXpBQQzBTm7KpSGNpMk1cQ,4.0
Jennifer,qhJ4GDULYbdb_sctDgbZgw,3.0
Lorrie,N0apJkxIem2E8irTBRKnHw,4.0
Matthew,soTckoprAbi2TlfqNInxeA,3.0
Margret,Qb4sJ4ssSX1clY2wEAOmsA,5.0
J,uenrK0IMuky3ChiX2sVvXw,3.0
Stefany,WGIlb1E6inGFj44I3Dhy3w,4.0
J,reMD4XrJSJ-bQ185AmZL3A,3.0
Jennifer,F8lC8jHCykqPy0h2AJ9lnQ,5.0
Juan,9SydO2JB2Z4gm-IRw5FSIQ,4.0
J,I4tp53A6qj6m_TXcwhBhqw,3.0
Samantha,GIx1awHeMv4drFpqz-1t7g,3.0
Jennifer,JlGvjj61UUVMW-8LZJjjjw,4.0
Bill,hn3jQvvLNPB3QkQXEQHSSg,3.0
Jennifer,bhUU5vYRkgAbYDdBP5lwOA,3.0
Phil,6kcjOA5J8NFgkx7DsrKghg,4.0
Fred,FU6KQ01FMtqddIHSaJli4Q,5.0
Chad,Jf5etKG_Sc3Xe2dcIUvWZw,2.0
Joe,hEjYQlKcn-ClE5rbCN6RBQ,3.0
Jennifer,8Zqh2jwtncA3N4fWEMTvZQ,3.0
Min,h6t-dQ1udLHs0ogBFAAPGw,3.0
Fox,pN9FtkDmlafRi8kUDUnN8w,5.0
Susan,nlVjdQq9FzdQ3bfy-8y80g,5.0
Stefany,grlL6zmHBOer9rPycsRhBA,3.0
Brad,BN4AorMm3RKgqi1E6ie25A,3.0
Chun,LYWbyu1EQM2o5hwHG5_Ldg,4.0
Jennifer,9kmczPRen9Ig8qbd9Tm1lw,3.0
Chad,RgqetGtygIGTHYhysPLktw,3.0
Annette,esnvHQxunLTAckQpntqbCg,3.0
Norm,86stmK3Vm2f5W6PdyvuLrQ,3.0
Stefany,denOutmcto4xiKG6yXfA6g,4.0
Dave,91EhRceds781OLo3M4BDrA,4.0
Denis,eQfYZrSuzE6B4vkmu74H6w,1.0
Daisy,tjAeaGdxf7I4xN9M7wGJNQ,4.0
Jennifer,isw3cS3hOKdKeBgi3lF3-A,4.0
Jennifer,HUJ8GgKw4IeWQlfo4rTc2g,4.0
Tiffany,mz9ltimeAIy2c2qf5ctljw,4.0
Jim,PERCOYjFcIkwTaqOWz9G6w,4.0
Gabi,-Oj_rs84KRFOTtbeQXPB7Q,3.0
Enrique,mxeYwJLqiV2IRRcQgxFRBQ,5.0
Anthony,ujHiaprwCQ5ewziu0Vi9rw,4.0
Anthony,d_L-rfS1vT3JMzgCUGtiow,3.0
Shiho,atVh8viqTj-sqDJ35tAYVg,4.0
Jennifer,300cN_XaArNzXKYrXYdr1Q,2.0
Jennifer,HBQG_DT8pfbkv8jiv3P6Gw,3.0
Norm,QnfAHUr5-HTiaA5-va3glQ,3.0
Messer,QDPUizovkVt0f4Jf3MAG9Q,5.0
Vincent,HH-OPbLz7Cftkk2waPGkcQ,4.0
Yuko,nsNONDHbV7Vudqh21uicqw,4.0
Jennifer,b8-a8u5VOAefOP6MMmGF0g,2.0
Uncle Fishbits Aeneas,3fdtp-bzoE4ZgTakkcEBzQ,2.0
Rob,FYqFfaxVRW6pdviONXIoDw,5.0
Gabi,iE71iwcSljg3xm2GB2Y9aA,4.0
Nicole,vodVvMALuQPScQJpLhfcyg,2.0
Brad,CLthP1yn32xlBswIbsLIjQ,3.0
PatrickJ,U8hKZEVMQlpA5WkNNbWMcw,4.0
Nat,LHXisknIbUy_XtdEQc7x9w,4.0
Fox,tB_SvIaU0KmMgrM4kLPW8Q,5.0
Gabi,6nKR80xEGHYf2UxAe_Cu_g,5.0
Bruce,FX43CMUW4ISt_9D-5nKQlg,1.0
Cynthia,Wxxvi3LZbHNIDwJ-ZimtnA,3.0
Stacy,UXqm21CiFIojOZdALb-AaA,3.0
Janice,mz9ltimeAIy2c2qf5ctljw,4.0
Miriam,EUWBT5GDxPC95w9itZ1EHw,4.0
Owen,c-6ECG_qjX09UBOI1VrZyg,1.0
J,64h5mGa2cJqLgoEwRfpDUQ,4.0
Bruce,igJPhoIj2HHKeAtBatnM-g,3.0
Darrell,5yZ1XmDcOEsElDeb9PlPDQ,4.0
Jim,PrwXfYk-EZpiw5aehyBzzg,3.0
Heejin,jlpseJr1CS8aCMieENkQ8g,3.0
Dani,BN9ZBXKBvtPdG3sujNSWSw,1.0
Jen,4hG2j_ibsNblDgqei05U_g,5.0
Karen,QBIfqIgZLZsq0wIDO27FOQ,4.0
Yuko,PNTyiqS7R-0c1ofxOfDijQ,4.0
Rob,-1xuC540Nycht_iWFeJ-dw,5.0
Jennifer,Ket95P-dPSo__2bnaSmGow,4.0
Matthew,MDSNSm8D7Jhp6EUKpOha5w,5.0
Anthony,c0yPNU-BqS65u0vIKP7P0w,5.0
Ziyan,faPVqws-x-5k2CQKDNtHxw,4.0
Katy,QosqxBQrGR0o6Gx9mlcMmg,4.0
Eugene,65GMvjjrsvyR9pxxAys7qg,4.0
Bruce,IkilcGqiN3_sQk-VvnoAeg,5.0
Stefany,gHoP4eJimaMltfUlp6EP4Q,4.0
Margret,zvQIEpJUmLLmMMffNntHXQ,4.0
Joseph,XqNDr54eLDLRfZwo4l4dVA,3.0
Brad,aXgF2q1ciYIwUS2ULNNCgQ,4.0
Stefany,QzvLnOqwH6BIY_jCOvzuQQ,3.0
Karen,8TBt9XAVZIZR2Y0EqBHskg,4.0
Kevin,TNQMnauUy5jposO9P6WcJQ,4.0
Nadine,aYTiyhUbc6uL7jSAXGKhrA,5.0
Shannon,ujHiaprwCQ5ewziu0Vi9rw,5.0
Stephen,EtLM-iRYp3UGOEz4_b0I2Q,4.0
Randoll,65GMvjjrsvyR9pxxAys7qg,5.0
Amuse,vx4YAA02Qz6khRD1fZ1MFA,3.0
Kathy,y85X24N89dQgbEfGNuj2WQ,4.0
Norm,5JxlZaqCnk1MnbgRirs40Q,4.0
Messer,VG_-373vxytoK9w2SB5yFQ,5.0
Coty,Wxxvi3LZbHNIDwJ-ZimtnA,4.0
Chris,eKZTNDzfys16PKBcFhWJVA,3.0
Stephy,wUKzaS1MHg94RGM6z8u9mw,3.0
Kent,CDOjlyFd8ro5X0-XZl6Eeg,3.0
Norm,EdY6q0CO2mlATpoTFkvHAw,1.0
J,zvQIEpJUmLLmMMffNntHXQ,4.0
Mel,77h11eWv6HKJAgojLx8G4w,4.0
Norm,BQqwIYQuo2W94smjrBjy5g,4.0
Derek,jItm9rWFREGUkHMJZRbbPg,5.0
Jim,MbdUXJ-I0dKIrqgfqm1SWQ,4.0
Stefany,N4r3XX7uH42aXhHvFMkxjA,2.0
Adam,PNTyiqS7R-0c1ofxOfDijQ,4.0
Nadine,XXW_OFaYQkkGOGniujZFHg,4.0
Margret,4CsaeCbJeQ3A6y5knN6W9g,4.0
Vic,OVTZNSkSfbl3gVB9XQIJfw,3.0
Jennifer,seYvTmOZGJ2IAMdfQa8pkg,4.0
Ai,ohz8ljVxcZMo2bMGrBZfgw,4.0
Rob,CLthP1yn32xlBswIbsLIjQ,5.0
Jennifer,thLX_k20SPJ0KyusGTBIHw,4.0
Mel,WsdmzI2giWHcRN2plprxIg,4.0
Joe,rTZVcJZ8G80i6NjLw0SW8Q,3.0
Christopher,HH-OPbLz7Cftkk2waPGkcQ,5.0
Samantha,d_L-rfS1vT3JMzgCUGtiow,5.0
Jen,dQwjYLmQXb06CpMPIpm5-g,4.0
Stefany,8REOSFVMO-E1VrmLvY49Tg,3.0
Fannie,ujHiaprwCQ5ewziu0Vi9rw,4.0
Juan,3JxKzWquEbPC3yPIfoCiLw,4.0
Nicole,dyq9my28t5NW8N-6s8OgfA,4.0
Jen,wUsjANxpknTpsaTjYoo9iA,4.0
J,PmkXtqIcjQGpNShB8yTSrA,4.0
Katy,91EhRceds781OLo3M4BDrA,5.0
Chad,gGSLGSvE4iigeZWLGXBiXQ,3.0
Chad,-wq9csKMPZXuXkg8jsQJlw,4.0
PatrickJ,UcBgxABVMc5mo1JLB8t70Q,4.0
Bruce,vxadNrpTY7OHNmWsrEpNnA,4.0
Chad,4vxpq3gE4p710Wxh82traQ,1.0
Andrea,42sLimmGYSxUiFmJS7mLlw,4.0
Pete,OyTSs71uXNDeC14zsPA5jw,3.0
Arnel,NCFwm2-TDb-oBQ2medmYDg,5.0
Tiffany,Nh5lFw2MLYBYxO1SzhsLqA,5.0
Norm,0qSKZhVC_BHPuKro4QGWJw,3.0
Jennifer,pXlverM0Xn_fq7fpE0EsRg,3.0
Stefany,2LNnIARy-lGmrlEMZSxZ1w,4.0
Karen,U30HnYk0SVtXHf4MrKuuiw,5.0
Miriam,fNldo9xOxo-av2_1Q4U9JQ,4.0
Darrell,HhVmDybpU7L50Kb5A0jXTg,3.0
Karen,TVKr8ljkppquzOK35Pz6NA,5.0
Karen,jb7pFtM4J5Hu9tCaoGxnRQ,3.0
Matt,XwV2-lISDp_5Acy72bA8Qg,4.0
Owen,Km9IPMrNPEnn40ebgxs6vw,4.0
Brad,rbnu5j2ngn2EeKoqLtnB2g,2.0
Mike,25Qrw76juedI3ClzSEDjhg,4.0
Tina,8xCiibfgqy-8xpCWEaguqg,3.0
Stefany,reMD4XrJSJ-bQ185AmZL3A,2.0
Chad,tLSgXuy0g8nxX6Xgb7nvrw,1.0
Chad,bt00hbBi-DN6ksKiQngV4g,3.0
Chris,epQzqMPbNjh5t0Td3T6TJA,4.0
Chris,8MZ5su5DbS_Kq6UNGDYDGw,1.0
Norm,8yiLVWzJyyTEhYE0fVNvlA,3.0
Jim,Ja4stXdNYr39u5CZHMNtjw,3.0
J,1kvrsDz_5ATKQBguHfJzaA,4.0
Norm,gc_GGat7TgNCmrgc4nVOgw,3.0
Yan,N0apJkxIem2E8irTBRKnHw,4.0
Stefanie,A4zLP5AyKEEHQr_dWEZKig,5.0
Franklin,mz9ltimeAIy2c2qf5ctljw,5.0
Kymberli,4hG2j_ibsNblDgqei05U_g,1.0
Carol,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
Messer,YzMUZjUMcgI-NSGu48-nIQ,5.0
Stefany,_pBXtjN43eqMV0XZTz7nmw,3.0
Messer,YzMUZjUMcgI-NSGu48-nIQ,5.0
Joe,Wxxvi3LZbHNIDwJ-ZimtnA,3.0
John,70ThpWAeQV8PEyJXJNid4Q,4.0
Nicole,2232XZ-3ub4S9cmrHJSDFg,3.0
Owen,x0xpfGQi_vERc9Qoq0b_lQ,4.0
Elena,Wxxvi3LZbHNIDwJ-ZimtnA,4.0
Franco,YRyYbOSwvHkZsZOLv98oQg,4.0
Jennifer,qgHx71_UAWHRySTPMaAJqw,4.0
Samantha,oxwGyA17NL6c5t1Etg5WgQ,4.0
J,NtvCX9UEWFvHSxQj06XQ0g,4.0
Stefany,gjCmXkMNVE0JSk8puUwv6g,4.0
Emily,n8Zqqhff-2cxzWt_nwhU2Q,4.0
Margret,gHoP4eJimaMltfUlp6EP4Q,4.0
Chad,Bsw6sGGiCqGZ6Z6Jtw-owA,3.0
Bruce,klQnFvxN7stIgYAvRylY0Q,3.0
Brad,9E1q2uEMd881wnruicNTUA,4.0
Samantha,nQD284VfImPe_UXkmq4yaQ,3.0
Carol,ujHiaprwCQ5ewziu0Vi9rw,4.0
Darya,EUWBT5GDxPC95w9itZ1EHw,4.0
Chad,0FLEhT8CFMndcgIHuAhPmQ,2.0
Messer,KEGLWeFAWXvo0W2LnujhtQ,5.0
Jennifer,VMXl3Dm1Nwvgwo1PVYTXbg,4.0
Charley,3JxKzWquEbPC3yPIfoCiLw,5.0
Dave,Wxxvi3LZbHNIDwJ-ZimtnA,4.0
Mel,FvVSy2r7_zDEhZWqLgjXNQ,4.0
Shalini,YmxMtTey4edFWN6K2vrEFg,5.0
Gabi,-4TMQnQJW1yd6NqGRDvAeA,5.0
Kim,ujHiaprwCQ5ewziu0Vi9rw,4.0
Chad,2232XZ-3ub4S9cmrHJSDFg,3.0
Dominik,ujHiaprwCQ5ewziu0Vi9rw,3.0
Stefany,UGNBEtwzgkzV5030dZNkcg,3.0
Samantha,WRQ-9LluyivReFiQZFUujw,4.0
Andrea,BgthHqiXot2s4Sd_xcI6DQ,4.0
Mike,N9oZ9GDPf65x6zv7fsKJvA,3.0
Michael,yofHPSC24EsWTMJq3_6N6g,2.0
Gabi,cs1qJvnWUg_f8g020z_3PQ,4.0
Mel,Wxxvi3LZbHNIDwJ-ZimtnA,5.0
Jocelyn,f1R43EDuCv_FdhZksMsJaA,4.0
J,BIbjBxoiJLS8CnNsSP64TQ,1.0
Mary,A49jCMzZXswmSAZqZUAi8Q,4.0
Karen,ezrNxiPJUYLJpDtTQyj9eA,3.0
Kyle,uy4LKQ4Q5H5IxnjZEh3JuA,3.0
Andrea,S-oLPRdhlyL5HAknBKTUcQ,3.0
Angela,gkxmQi2cipbysXFgT_w_jA,5.0
Nadine,_2X_W0Tf5-RXyGabxVwiGg,4.0
Amuse,c_iQzwsTDYraPvHSKz88QA,4.0
Kent,qfj5Ih8-6RPF2ccvNGvCcg,5.0
Emily,WDKTg468bkRPW0LqbAZfmg,3.0
Jennifer,j1QfFrTE22PAak7rzD8OoQ,3.0
Bill,i6hWP3si97eKQl_JyK8L3w,4.0
Dave,EneqsOFGCK4KXofNHsc5aQ,5.0
Yuko,p15y62u9rsfU7AYYC2bYPA,4.0
Yuko,_Ii0lo1P5n7zVURO5Uaf1w,4.0
Jen,DZBAkVf8HU4U4ZQ_yKECBQ,4.0
David,UD6dphWsP_hC-hebM7MNSA,5.0
Emily,AUl6myFhTAbEqt0GMdKHiw,4.0
Nicole,vhDnsz7Tzopg9WkN0shtZQ,4.0
Michael,7kzQjGmeI0Z1q06q_aE1PQ,4.0
GT,uC3qwaxsOkdJzpOc0v1Mog,3.0
